FileIndex,id,trackName,album,artistName,image,link
1,2plqXe2wauMgMHQLSDwWBD,b'Everything Is Changing',b'The Best of Groove Collective',{b'Groove Collective'},https://i.scdn.co/image/932c973c0b2e59d23eda762f4c93e42ab3366cf6,https://p.scdn.co/mp3-preview/47565f4f3bcaefccdb8a3715399e404bbc1a1098?cid=e8da72ba388d4bfb91bebd185915b918,
2,4ziNEnmyNT3AJL98nfXr0D,b'Blue Trombone',b'The Trombone Master',{b'J.J. Johnson'},https://i.scdn.co/image/3ce85632adf86cc05c0b330508059806e0e1bbdf,https://p.scdn.co/mp3-preview/a310c8f46df750dfce14e0867a524a9db756325a?cid=e8da72ba388d4bfb91bebd185915b918,
3,3gMMHNUrq3rPeUfgQcAJ2H,b'Pretty Ballad',b'Foundations: The Keith Jarrett Anthology',{b'Keith Jarrett'},https://i.scdn.co/image/e0edc5f4281e0c6826f56bc778ce5c8b1dcf8039,https://p.scdn.co/mp3-preview/cb662e3d93881ccdc8c20642ae77d88250d97daa?cid=e8da72ba388d4bfb91bebd185915b918,
4,1B8RSIxmwcjad7XUJjeCK2,b'You Make Me Feel So Young',b'To Be Loved',{b'Michael Bubl\xc3\xa9'},https://i.scdn.co/image/6d21449c11da6548826b6d153988900a8fb4334c,https://p.scdn.co/mp3-preview/bba92204258add17f9ef282fbac85f73ebf1b587?cid=e8da72ba388d4bfb91bebd185915b918,
5,5L8ta4ECl5zeA6bGqY7G38,b'Sing-> Sing-> Sing',b'The Essential Benny Goodman',{b'Benny Goodman'},https://i.scdn.co/image/bd46c54913d3959b61403eada08d0cbbe46c19b2,https://p.scdn.co/mp3-preview/f2b5d38cdd2cc34c77d3310e28a201266d95b669?cid=e8da72ba388d4bfb91bebd185915b918,
6,79fXdfpOPGaXO1gfdq2onl,b'All of Me',b'Billie Holiday Love Songs',{b'Billie Holiday'},https://i.scdn.co/image/7410b34462c2303fb86e3cdda7f558bf241a199f,https://p.scdn.co/mp3-preview/70f8b909a8c90aaaace37157cf664475d338ee95?cid=e8da72ba388d4bfb91bebd185915b918,
7,3qQVUOHJdgIFWJd0jrG9GE,b"Doin' It",b'Secrets',{b'Herbie Hancock'},https://i.scdn.co/image/a7cbe66da79c57790739929b6dc416ddce6c2718,https://p.scdn.co/mp3-preview/f637fd1bbac12a3a1bd8186d4a457bff225ebf4e?cid=e8da72ba388d4bfb91bebd185915b918,
8,3PJMsxg6rz9FOo6xNiASXz,b'Goodbye Pork Pie Hat',b'Ah Um',{b'Charles Mingus'},https://i.scdn.co/image/be06e042a8a1fad2d3900852dbbb3b849beae044,https://p.scdn.co/mp3-preview/14a67d58b7674d1ee346abe3a40df155946e93ab?cid=e8da72ba388d4bfb91bebd185915b918,
9,0TCmgtbTtbLA0OW0EhfEFb,b'Dat Dere',b'Sin & Soul... And Then Some',{b'Oscar Brown, Jr.'},https://i.scdn.co/image/0d0d1f3c59ab77b0b2e4d91060086eb450f77786,https://p.scdn.co/mp3-preview/0ba43fb37997305a727a63cbd6608a37da666dc0?cid=e8da72ba388d4bfb91bebd185915b918,
10,0aWMVrwxPNYkKmFthzmpRi,b'Blue in Green',b'Kind Of Blue (Legacy Edition)',{b'Miles Davis'},https://i.scdn.co/image/dd695d8a18d33640f2abca4588ef36a8ac1811a6,https://p.scdn.co/mp3-preview/bf085f7b43b6be637374a858eeab87741d9454e0?cid=e8da72ba388d4bfb91bebd185915b918,
